(0,0,1,2,1,)
(1,0,1,4,0,)
(2,0,1,3,0,)
(3,0,2,0,0,)
(4,0,1,2,1,)
(5,0,2,0,1,)
(6,0,0,1,1,)
(7,0,0,2,0,)
(8,0,0,2,0,)
(9,0,2,3,0,)
(10,0,2,1,1,)
(11,0,1,4,0,)
(12,0,1,4,1,)
(13,0,0,3,0,)
(14,0,0,3,0,)
(15,0,1,1,0,)
(16,0,2,3,1,)
(17,0,0,2,0,)
(18,0,2,4,1,)
(19,0,1,4,1,)
(20,0,2,0,0,)
(21,0,1,3,0,)
(22,0,1,2,0,)
(23,0,0,1,0,)
(24,0,1,4,0,)
(25,0,0,1,0,)
(26,0,0,3,1,)
(27,0,1,4,1,)
(28,0,1,0,0,)
(29,0,1,1,0,)
(30,0,2,4,0,)
(31,0,1,2,1,)
(0,1,0,2,0,)
(1,1,2,3,1,)
(2,1,0,3,1,)
(3,1,2,2,0,)
(4,1,2,1,1,)
(5,1,1,4,1,)
(6,1,2,4,0,)
(7,1,0,2,1,)
(8,1,2,0,0,)
(9,1,2,0,0,)
(10,1,2,4,1,)
(11,1,1,0,0,)
(12,1,1,4,1,)
(13,1,2,2,0,)
(14,1,1,2,1,)
(15,1,0,3,1,)
(16,1,1,4,1,)
(17,1,0,1,0,)
(18,1,2,1,0,)
(19,1,2,3,0,)
(20,1,0,1,0,)
(21,1,2,0,1,)
(22,1,2,2,0,)
(23,1,0,0,1,)
(24,1,1,0,0,)
(25,1,1,4,0,)
(26,1,0,1,0,)
(27,1,1,3,1,)
(28,1,2,4,1,)
(29,1,2,3,1,)
(30,1,1,3,0,)
(31,1,1,3,1,)
(0,2,2,3,0,)
(1,2,2,0,1,)
(2,2,2,4,1,)
(3,2,0,0,0,)
(4,2,1,4,0,)
(5,2,0,3,0,)
(6,2,0,3,0,)
(7,2,2,4,1,)
(8,2,0,0,1,)
(9,2,0,3,1,)
(10,2,2,3,0,)
(11,2,0,3,0,)
(12,2,2,1,0,)
(13,2,2,4,1,)
(14,2,0,2,1,)
(15,2,1,3,0,)
(16,2,1,4,0,)
(17,2,2,3,1,)
(18,2,1,3,1,)
(19,2,0,2,1,)
(20,2,0,0,0,)
(21,2,2,2,0,)
(22,2,1,3,1,)
(23,2,0,4,0,)
(24,2,2,3,1,)
(25,2,2,1,1,)
(26,2,1,1,1,)
(27,2,2,0,1,)
(28,2,0,0,0,)
(29,2,0,1,1,)
(30,2,0,4,1,)
(31,2,1,2,1,)
(0,3,1,0,0,)
(1,3,0,2,0,)
(2,3,2,2,0,)
(3,3,2,1,0,)
(4,3,1,4,0,)
(5,3,1,0,0,)
(6,3,1,4,0,)
(7,3,0,0,0,)
(8,3,2,3,0,)
(9,3,1,4,1,)
(10,3,1,4,1,)
(11,3,1,1,1,)
(12,3,0,0,1,)
(13,3,1,1,0,)
(14,3,2,2,0,)
(15,3,1,4,0,)
(16,3,2,1,0,)
(17,3,1,3,1,)
(18,3,0,3,1,)
(19,3,2,2,0,)
(20,3,1,1,1,)
(21,3,1,1,0,)
(22,3,0,4,1,)
(23,3,1,4,0,)
(24,3,1,0,1,)
(25,3,2,4,0,)
(26,3,0,4,0,)
(27,3,2,4,0,)
